block size, time (msec), rate
Not Block, 4098.000000, 0.001862
1, 7327.000000, 0.001041
2, 3766.000000, 0.002026
3, 2766.000000, 0.002758
4, 2125.000000, 0.003590
5, 1703.000000, 0.004480
6, 1483.000000, 0.005145
7, 1359.000000, 0.005614
8, 1303.000000, 0.005855
9, 1221.000000, 0.006248
10, 1111.000000, 0.006867
11, 1151.000000, 0.006628
12, 1377.000000, 0.005541
13, 1205.000000, 0.006331
14, 1256.000000, 0.006074
15, 1630.000000, 0.004681
16, 1735.000000, 0.004397
17, 1902.000000, 0.004011
18, 1819.000000, 0.004194
19, 1670.000000, 0.004568
20, 1622.000000, 0.004704
